partnumber,releasedate
XFP-10GER-192IR+,2003-04-01
XFP10GZR192LR-RGD,2003-04-01
AIR-ANT-LOC-01=,2013-01-21
AIR-ANT25-LOC-02=,2013-01-21
AIR-RM3000L1-UXK9=,2013-01-21
AIR-RM3000M-10=,2013-01-21
AIR-RM3000M=,2013-01-21
AIR-RM3010L-A-K9,2013-01-21
AIR-RM3010L-A-K9=,2013-01-21
AIR-RM3010L-B-K9=,2013-01-21
AIR-RM3010L-C-K9=,2013-01-21
AIR-RM3010L-D-K9=,2013-01-21
AIR-RM3010L-E-K9=,2013-01-21
AIR-RM3010L-F-K9=,2013-01-21
AIR-RM3010L-H-K9=,2013-01-21
AIR-RM3010L-I-K9=,2013-01-21
AIR-RM3010L-K-K9=,2013-01-21
AIR-RM3010L-N-K9=,2013-01-21
AIR-RM3010L-Q-K9=,2013-01-21
AIR-RM3010L-R-K9=,2013-01-21
AIR-RM3010L-S-K9=,2013-01-21
AIR-RM3010L-T-K9=,2013-01-21
AIR-RM3010L-UXK9=,2013-01-21
AIR-RM3010L-Z-K9=,2013-01-21
AIR-RM3010LA-UXK9=,2013-01-21
UBR-MC28U,2002-12-09
UBR-MC28X,2002-12-09
UBR-MC16U,2002-12-09
UBR-MC16X,2002-12-09
GLC-FE-100FX-RGD=,2010-05-24
GLC-FE-T-I=,2010-05-24
GLC-FE-100FX=,2010-05-24
GLC-FE-100LX=,2010-05-24
GLC-FE-100EX=,2010-05-24
GLC-FE-100ZX=,2010-05-24
GLC-FE-100BX-D=,2010-05-24
GLC-FE-100BX-U=,2010-05-24
GLC-SX-MM-RGD=,2010-05-24
GLC-LX-SM-RGD=,2010-05-24
GLC-ZX-SM-RGD=,2010-05-24
GLC-BX40-U-I=,2010-05-24
GLC-BX40-D-I=,2010-05-24
GLC-BX40-DA-I=,2010-05-24
GLC-BX80-U-I=,2010-05-24
GLC-BX80-D-I=,2010-05-24
GLC-SX-MMD=,2010-05-24
GLC-LH-SMD=,2010-05-24
GLC-EX-SMD=,2010-05-24
GLC-ZX-SMD=,2010-05-24
GLC-BX-D=,2010-05-24
GLC-BX-U=,2010-05-24
CWDM-SFP-xxxx= (8 freq),2010-05-24
DWDM-SFP-xxxx= (40 freq),2010-05-24
SFP-GE-S=,2010-05-24
SFP-GE-L=,2010-05-24
SFP-GE-Z=,2010-05-24
GLC-SX-MM=,2010-05-24
GLC-LH-SM=,2010-05-24
GLC-ZX-SM=,2010-05-24
GLC-TE=,2010-05-24
GLC-T=,2010-05-24
ANT-1.4-PNL-OUT-N,2010-05-24
ANT-1.4-PNL-OUT-N=,2010-05-24
ANT-1.8-PNL-OUT-N,2010-05-24
ANT-1.8-PNL-OUT-N=,2010-05-24
ANT-2.X-PNL-OUT-N,2010-05-24
ANT-2.X-PNL-OUT-N=,2010-05-24
CGM-WIMAX-1.4GHZ,2010-05-24
CGM-WIMAX-1.4GHZ=,2010-05-24
CGM-WIMAX-1.8GHZ,2010-05-24
CGM-WIMAX-1.8GHZ=,2010-05-24
CGM-WIMAX-2.3GHZ,2010-05-24
CGM-WIMAX-2.3GHZ=,2010-05-24
MEM-S3-1GB,2002-10-01
MEM-MSFC3-1GB,2002-10-01
WS-F6K-PFC3BXL,2002-10-01
WS-F6K-PFC3B,2002-10-01
FAN-MOD-3HS,2002-10-01
FAN-MOD-09,2002-10-01
WS-C6K-13SLT-FAN2,2002-10-01
WS-6509-NEB-UPGRD=,2002-10-01
WS-F6700-DFC3A,2002-10-01
X2-10GB-CX4,2002-10-01
XENPAK-10GB-LRM,2002-10-01
XENPAK-10GB-LX4,2002-10-01
XENPAK-10GB-CX4,2002-10-01
DWDM-XENPAK-xx.yy,2002-10-01
CAB-INF-28G-1=,2002-10-01
CAB-INF-28G-5=,2002-10-01
CAB-INF-28G-10=,2002-10-01
CAB-INF-26G-15=,2002-10-01
368285-001,2002-10-01
371098-001,2002-10-01
EM-HDA-6FXO=,1960-01-01
EM3-HDA-8FXS/DID,1960-01-01
EM3-HDA-8FXS/DID-S,1960-01-01
EM3-HDA-8FXS/DID=,1960-01-01
EVM-HD-8FXS/DID-S,1960-01-01
EVM-HD-8FXS/DID=,1960-01-01
MEM-224-1X64F=,1960-01-01
EHWIC-4G-LTE-VEHWIC-4G-LTE-V= (Spare),2004-09-12
EHWIC-4G-LTE-AEHWIC-4G-LTE-A= (Spare),2004-09-12
EHWIC-4G-LTE-GEHWIC-4G-LTE-G= (Spare),2004-09-12
EHWIC-4G-LTE-BEEHWIC-4G-LTE-BE= (Spare),2004-09-12
EHWIC-4G-LTE-JPEHWIC-4G-LTE-JP= (Spare),2004-09-12
4G-LTE-ANTM-D4G-LTE-ANTM-D= (Spare),2004-09-12
4G-ANTM-OM-CM4G-ANTM-OM-CM= (Spare),2004-09-12
4G-AE010-R4G-AE010-R= (Spare),2004-09-12
4G-AE015-R4G-AE015-R= (Spare),2004-09-12
4G-CAB-ULL-504G-CAB-ULL-50= (Spare),2004-09-12
4G-CAB-ULL-204G-CAB-ULL-20= (Spare),2004-09-12
4G-CAB-LMR240-254G-CAB-LMR240-25= (Spare),2004-09-12
4G-CAB-LMR240-504G-CAB-LMR240-50= (Spare),2004-09-12
4G-CAB-LMR240-754G-CAB-LMR240-75= (Spare),2004-09-12
GPS-ACT-ANTM-SMAGPS-ACT-ANTM-SMA= (Spare),2004-09-12
CAB-L400-50-TNC-N,2004-09-12
CAB-L400-20-TNC-N,2004-09-12
CAB-L400-20-N-N,2004-09-12
C2911-4G-V-SEC/K91,2004-09-12
C2921-4G-V-SEC/K91,2004-09-12
C2951-4G-V-SEC/K91,2004-09-12
C1921-4G-V-SEC/K91,2004-09-12
C2911-4G-A-SEC/K91,2004-09-12
C2921-4G-A-SEC/K91,2004-09-12
C1921-4G-A-SEC/K91,2004-09-12
HWIC-4SHDSL-E=,2004-09-12
EHWIC-4SHDSL-EA=,2004-09-12
C1921-3G-G-K9,2004-09-12
C1921-3G+7-A-K9,2004-09-12
C1921-3G+7-K9,2004-09-12
C1921-3G+7-SEC/K9,2004-09-12
C1921-3G+7A-SEC/K9,2004-09-12
C1921-4G-A-SEC/K9,2004-09-12
C1921-4G-V-SEC/K9,2004-09-12
C2911-4G-A-SEC/K9,2004-09-12
C2911-4G-V-SEC/K9,2004-09-12
C2921-4G-A-SEC/K9,2004-09-12
C2921-4G-V-SEC/K9,2004-09-12
C2951-4G-V-SEC/K9,2004-09-12
EHWIC-3G-HSPA+7,2004-09-12
EHWIC-3G-HSPA+7-A,2004-09-12
EHWIC-3G-HSPA+7-A=,2004-09-12
EHWIC-3G-HSPA+7=,2004-09-12
EHWIC-4G-LTE-A++=,2004-09-12
EHWIC-4G-LTE-A=,2004-09-12
EHWIC-4G-LTE-BE,2004-09-12
EHWIC-4G-LTE-BE=,2004-09-12
EHWIC-4G-LTE-G,2004-09-12
EHWIC-4G-LTE-G++=,2004-09-12
EHWIC-4G-LTE-G=,2004-09-12
EHWIC-4G-LTE-JP,2004-09-12
EHWIC-4G-LTE-JP=,2004-09-12
EHWIC-4G-LTE-V++=,2004-09-12
EHWIC-4G-LTE-V=,2004-09-12
C1921-3G-S-K9,2004-09-12
C1921-3G-U-K9,2004-09-12
C1921-3G-V-K9,2004-09-12
EHWIC-3G-EVDO-B,2004-09-12
EHWIC-3G-EVDO-B=,2004-09-12
WIM-3G,2004-09-12
EHWIC-3G-EVDO-S,2004-09-12
EHWIC-3G-EVDO-S=,2004-09-12
EHWIC-4G-LTE-ST=,2004-09-12
EHWIC-3G-EVDO-V,2004-09-12
EHWIC-3G-EVDO-V=,2004-09-12
EHWIC-4G-LTE-VZ=,2004-09-12
EHWIC-3G-HSPA-U,2004-09-12
EHWIC-3G-HSPA-U=,2004-09-12
EHWIC-4G-LTE-GB=,2004-09-12
75,1960-01-01
90,1960-01-01
92,1960-01-01
WS-X4506-GB-T,1960-01-01
60,1960-01-01
WS-X4748-12X48U+E (=),1960-01-01
WS-X4748-UPOE+E (=),1960-01-01
WS-UPOE-12VPSPL(=),1960-01-01
WS-X4748-RJ45V+E (=),1960-01-01
WS-X4748-RJ45-E (=),1960-01-01
WS-X4712-SFP+E (=),1960-01-01
WS-X4748-SFP-E (=),1960-01-01
WS-X4724-SFP-E (=),1960-01-01
WS-X4712-SFP-E (=),1960-01-01
WS-X4624-SFP-E (=),1960-01-01
WS-X4612-SFP-E (=),1960-01-01
WS-X4640-CSFP-E (=),1960-01-01
WS-X4648-RJ45-E (=),1960-01-01
WS-X4648-RJ45V-E (=),1960-01-01
WS-X4648-RJ45V+E (=),1960-01-01
WS-X4606-X2-E (=),1960-01-01
WS-X4548-GB-RJ45V(=),1960-01-01
WS-X4548-RJ45V+(=),1960-01-01
WS-X4548-GB-RJ45(=),1960-01-01
WS-X4506-GB-T(=),1960-01-01
WS-X4306-GB(=),1960-01-01
WS-X4418-GB(=),1960-01-01
WS-X4448-GB-SFP(=),1960-01-01
WS-X4248-FE-SFP (=),1960-01-01
WS-X4148-RJ(=),1960-01-01
WS-X4148-FX-MT(=),1960-01-01
WS-X4248-RJ45V(=),1960-01-01
WS-C4510RE-S7+96V+,1960-01-01
S45U-31-01XO,1960-01-01
S45ULK9-31-01XO,1960-01-01
C4500E-LB,1960-01-01
C4500E-IPB,1960-01-01
C4500E-LIC=,1960-01-01
C4500E-LB-IPB,1960-01-01
C4500E-LB-ES,1960-01-01
C4500E-IP-ES,1960-01-01
C4500E-LIC-PAK,1960-01-01
C4500E-IP-ES-S,1960-01-01
C4500E-IPB-S,1960-01-01
L-C4500E-LIC=,1960-01-01
L-C4500E-LB-IP,1960-01-01
L-C4500E-IP-ES,1960-01-01
L-C4500E-LB-ES,1960-01-01
WS-X4124-FX-MT,1960-01-01
WS-X4148-FX-MT,1960-01-01
WS-X4124-FX-MT=,1960-01-01
WS-X4148-FX-MT=,1960-01-01
WS-X4124-RJ45,1960-01-01
WS-X4124-RJ45=,1960-01-01
WS-X4148-RJ21,1960-01-01
WS-X4148-RJ21=,1960-01-01
WS-X4224-RJ45V,1960-01-01
WS-X4224-RJ45V=,1960-01-01
WS-X4232-GB-RJ,1960-01-01
WS-X4232-GB-RJ=,1960-01-01
WS-X4148-RJ=,1960-01-01
WS-X4248-RJ21V,1960-01-01
WS-X4248-RJ21V=,1960-01-01
WS-X4248-RJ45V=,1960-01-01
WS-X4302-GB,1960-01-01
WS-X4302-GB=,1960-01-01
WS-X4306-GB=,1960-01-01
WS-X4424-GB-RJ45,1960-01-01
WS-X4424-GB-RJ45=,1960-01-01
WS-X4548-GB-RJ45=,1960-01-01
WS-X4524-GB-RJ45V,1960-01-01
WS-X4524-GB-RJ45V=,1960-01-01
C6800-SUP6T =,1960-01-01
C6800-SUP6T-XL=,1960-01-01
SP6TAEK9-15301SY,1960-01-01
SP6TAEK9N-15301SY,1960-01-01
SP6TISK9-15301SY,1960-01-01
SP6TISK9N-15301SY,1960-01-01
S45EU-S8-38E,1960-01-01
S45EUK9-S8-38E,1960-01-01
L-C4500-LIC=,1960-01-01
VS-S2T-10G=,1960-01-01
VS-S2T-10G-XL=,1960-01-01
VS-F6K-PFC4XL=,1960-01-01
MEM-SUP2T-2GB=,1960-01-01
S2TAEK9-12250SY,1960-01-01
S2TAEK9N-12250SY,1960-01-01
S2TAIK9-12250SY,1960-01-01
S2TAIK9N-12250S,1960-01-01
S2TIBK9-12250SY,1960-01-01
S2TIBK9N-12250SY,1960-01-01
S2TISK9-12250SY,1960-01-01
S2TISK9N-12250SY,1960-01-01
S2TIB-12250SY,1960-01-01
S2TIS-12250SY,1960-01-01
CVO1900-CFG,1960-01-01
FL-1900-256U512MB,1960-01-01
FL-1900-256U512MB=,1960-01-01
FL-C1921-WAASX,1960-01-01
L-SL-19-SECNPE-K9,1960-01-01
L-SL-19-SECNPE-K9=,1960-01-01
S190NPEK9-15501T,1960-01-01
S190NPEK9-15501T=,1960-01-01
S190NPEK9-15502T,1960-01-01
S190NPEK9-15502T=,1960-01-01
S190NPEK9-15602T,1960-01-01
S190NPEK9-15602T=,1960-01-01
S190UK9-15502T,1960-01-01
S190UK9-15502T=,1960-01-01
S19CNPEK9-15502T,1960-01-01
S19CNPEK9-15502T=,1960-01-01
S19CUK9-15502T,1960-01-01
S19CUK9-15502T=,1960-01-01
SL-19-IPB-K9,1960-01-01
SL-19-IPB-K9=,1960-01-01
SL-19-SECNPE-K9,1960-01-01
SL-19-SECNPE-K9=,1960-01-01
LL-EAR-2811=,1960-01-01
S280AISK9-12422GC=,1960-01-01
S28AISK9-12422GC=,1960-01-01
2900-ZTD-CFG,1960-01-01
2911-BEZEL=,1960-01-01
ACS-2900-RM-23,1960-01-01
ACS-2900-RM-23=,1960-01-01
ACS-2900-RM-ETSI,1960-01-01
ACS-2900-RM-ETSI=,1960-01-01
ACS-2901-RM-23,1960-01-01
ACS-2901-RM-23=,1960-01-01
ACS-2901-RM-ETSI,1960-01-01
ACS-2901-RM-ETSI=,1960-01-01
C2900ISR-CICS-SL,1960-01-01
CONE-2921-AP-P,1960-01-01
CONE-2921-AP-P=,1960-01-01
FIPS-SHIELD-2901=,1960-01-01
FIPS-SHIELD-2911=,1960-01-01
FIPS-SHIELD-2921=,1960-01-01
FIPS-SHIELD-2951=,1960-01-01
FL-29-HSEC-K9,1960-01-01
FL-29-SNA,1960-01-01
FL-29-SNA=,1960-01-01
LL-EAR-2901=,1960-01-01
LL-EAR-2911=,1960-01-01
LL-EAR-2951=,1960-01-01
L-SL-29-SECNPE-K9,1960-01-01
L-SL-29-SECNPE-K9=,1960-01-01
MEM-2951-512U2.5GB,1960-01-01
NAL-FOC-2901,1960-01-01
NAL-FOC-2911,1960-01-01
NAL-FOC-2951,1960-01-01
RPS-COVER-2911=,1960-01-01
RPS-COVER-2921-51=,1960-01-01
S2951NPEK9-15501T,1960-01-01
S2951NPEK9-15501T=,1960-01-01
S2951NPEK9-15502T,1960-01-01
S2951NPEK9-15502T=,1960-01-01
