partnumber,releasedate
ICX7150-24-4X1G,2024-10-23
ICX7150-48PF-4X1G,2024-10-23
ICX7150-C10ZP-2X10GR,2024-10-23
ICX7150-24,2024-10-23
ICX7150-24P-2X10G,2024-10-23
ICX7150-48P-2X10G,2024-10-23
ICX7150-48PF-2X10G,2024-10-23
ICX7150-48ZP-E2X10G,2024-10-23
ICX7150-24P-4X10GR,2024-10-23
ICX7150-48ZP-E8X10GR,2024-10-23
ICX7150-C12P-2X10GR-RMT3,2024-10-23
ICX7150-C10ZP-2X10GR-RMT3,2024-10-23
ICX7150-24-4X10GR-RMT3,2024-10-23
ICX7150-24P-4X10GR-RMT3,2024-10-23
ICX7150-48-4X10GR-RMT3,2024-10-23
ICX7150-48P-4X10GR-RMT3,2024-10-23
ICX7150-48PF-4X10GR-RMT3,2024-10-23
ICX7150-48ZP-E8X10GR-RMT3,2024-10-23
ICX7150-C12P-2X10GR-A,2024-10-23
ICX7150-24-4X10GR-A,2024-10-23
BR-ICX-7150C-21U210R-P-01,2024-10-23
BR-ICX-7150-41U210-P-01,2024-10-23
BR-ICX-7150-41U410R-P-01,2024-10-23
BR-ICX-7150-210U410R-P-01,2024-10-23
BR-ICX-7150Z210U810R-P-01,2024-10-23
RPS20-E,2024-10-23
7150-48ZP,2024-10-23
ICX-FAN11,2024-10-23
ICX6400-C12-MGNT,2024-10-23
CC-RJ45-DB9,2024-10-23
RJ45-RJ45,2024-10-23
CC-USBC-USBA,2024-10-23
ICX7000-C12-RMKICX7150-C12P,2024-10-23
ICX7150-C08PT,2024-10-23
ICX7000-C10ZP-RMKICX7150-C10ZP,2024-10-23
ICX7000-C12-WMKICX7150-C12P,2024-10-23
XBR-R000295,2024-10-23
ICX7000-RMK,2024-10-23
RMK-LRM-ADP,2024-10-23
ICX-ADP-PLT,2024-10-23
ICX-DIN-MNT,2024-10-23
ICX7450-24-E,2024-10-23
ICX7450-24-40G-E,2024-10-23
ICX7450-24P-E,2024-10-23
ICX7450-24P-40G-E,2024-10-23
ICX7450-24P-E-RMT3,2024-10-23
ICX7450-48-E,2024-10-23
ICX7450-48P-E,2024-10-23
ICX7450-48P-E-RMT3,2024-10-23
ICX7450-48P-STK-E,2024-10-23
ICX7450-48P-STK-E-RMT3,2024-10-23
ICX7450-48F-E,2024-10-23
ICX7450-48F-E-RMT3,2024-10-23
ICX7450-24P,2024-10-23
ICX7450-48,2024-10-23
ICX7450-48F,2024-10-23
ICX7400-4X1GF,2024-10-23
ICX7400-4X10GC,2024-10-23
10GBASE-T,2024-10-23
ICX7400-SERVICE-MOD,2024-10-23
RPS15-E,2024-10-23
RPS15-I,2024-10-23
RPS16-E,2024-10-23
RPS16-I,2024-10-23
RPS16DC-E,2024-10-23
RPS16DC-I,2024-10-23
ICX-FAN10-E,2024-10-23
ICX-FAN10-I,2024-10-23
ICX7450-PREM-LIC,2024-10-23
ICX-MACSEC-LIC,2024-10-23
ICX7550-24-E2,2024-10-23
ICX7550-48-E2,2024-10-23
ICX7550-24P-E2,2024-10-23
ICX7550-48P-E2,2024-10-23
ICX7550-24ZP-E2,2024-10-23
ICX7550-48ZP-E2,2024-10-23
ICX7550-24F-E2,2024-10-23
ICX7550-48F-E2,2024-10-23
ICX7550-24P-E2-R3,2024-10-23
ICX7550-48P-E2-R3,2024-10-23
ICX7550-24ZP-E2-R3,2024-10-23
ICX7550-48ZP-E2-R3,2024-10-23
ICX7550-24F-E2-R3,2024-10-23
ICX7550-48F-E2-R3,2024-10-23
ICX7550-24,2024-10-23
ICX7550-48,2024-10-23
ICX7550-24P,2024-10-23
ICX7550-48P,2024-10-23
ICX7550-24ZP,2024-10-23
ICX7550-48ZP,2024-10-23
ICX7550-24F,2024-10-23
ICX7550-48F,2024-10-23
ICX7650-1X100GQ,2024-10-23
ICX7650-4X10GF,2024-10-23
RPS22-E,2024-10-23
RPS22-I,2024-10-23
RPS21-E,2024-10-23
RPS21-I,2024-10-23
RPS21DC-E,2024-10-23
RPS21DC-I,2024-10-23
ICX-FAN12-E,2024-10-23
ICX-FAN12-I,2024-10-23
ICX7550-PREM-LIC,2024-10-23
ICX-RMK-4POST-TL,2024-10-23
ICX8200-C08ZP,2024-10-23
ICX8200-24,2024-10-23
ICX8200-24P,2024-10-23
ICX8200-24ZP,2024-10-23
ICX8200-48,2024-10-23
ICX8200-48P,2024-10-23
ICX8200-48PF,2024-10-23
ICX8200-48PF2-E,2024-10-23
ICX8200-48PF2-E2,2024-10-23
ICX8200-48ZP2-E,2024-10-23
ICX8200-48ZP2-E2,2024-10-23
ICX8200-24F,2024-10-23
ICX8200-48F,2024-10-23
ICX8200-24FX,2024-10-23
ICX8200-PREM-LIC,2024-10-23
RPS23-E,2024-10-23
ICX-FAN13-E,2024-10-23
ICX7000-C12-RMK,2024-10-23
ICX7000-C12-WMK,2024-10-23
8200-C08ZP,2024-10-23
NEMA5-15,2024-10-23
PCCHINA2-IEC309,2024-10-23
PCSWISS-C1312G-HF,2024-10-23
HALOGEN-FREE,2024-10-23
PC-C13C14,2024-10-23
PA-117001,2024-10-23
ICX7650-48ZP-E,2024-09-04
ICX7650-48P-E,2024-09-04
ICX7650-48F-E,2024-09-04
ICX7650-48ZP-E-RMT3,2024-09-04
ICX7650-48P-E-RMT3,2024-09-04
ICX7650-48F-E-RMT3,2024-09-04
ICX7650-48ZP,2024-09-04
ICX7650-48P,2024-09-04
ICX7650-48F,2024-09-04
NON-POE,2024-09-04
ICX7650-PREM-LIC,2024-09-04
ICX7750-48F,2024-09-04
ICX7750-48F-RMT3,2024-09-04
ICX7750-48C,2024-09-04
ICX7750-26Q,2024-09-04
ICX7750-6Q,2024-09-04
